keyword,keyword_id,sentence_id,translation,original_sentence,textnorm_sentence,audionorm_sentence,audio_quality,comment
àpɾí,,18114,Kuku fed the boy food (and left),kúkù kǎjjì àpɾíɲá ŋɔ̀mɔ̀,kúkù kájì àpɾíɲá ŋɔ̀mɔ̀,,,
àpɾí,,18085,Kuku will make the boy  call his mom,kúkù káútìðìjɔ̀ àpɾíɲá lɛ́ŋgɛ̀n,kúkù ká_útìðìjɔ̀ àpɾíɲá lɛ́ŋgɛ́n,,,
àpɾí,,11766,Kuku made the boy break a stick (and left),kúkù kàgáɾíjì àpɾíɲá ðówɛ̀,kúkù kà_gáɾìjì àpɾíɲá ðówɛ́,,,
àpɾí,,6396,(dog) runs away from (the boy in the field),ŋɛ́n ŋɔ̂ɽàt̪àt̪ɛ́ àpɾíɲá nɛ̀ lə̀vɛ̀r,ŋɛ́n ŋɔ́ɽàt̪átɛ́ àpɾíɲá nɛ̀ lə̀və́r,,,
àpɾí,,800,The sheep will pull the boy away tomorrow,ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲá ndòbà,ðàŋàl ðá_və́lɛ̀ðà àpɾíɲá nd̪ɔ̀bà,,,
àpɾí,,798,The sheep will pull the boy away.,ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲâ,ðàŋàl ðá_və́lɛ̀ðà àpɾíɲá,,,
àpɾí,,16666,The man took meat from the boy,ðàmɔ̀cò ðápàt̪ɛ̀ àpríɲá èðè,ðɔ̀mɔ̀cɔ̀ ðápàt̪ɛ̀ àpɾíɲá ɛ̀ðɛ̀,,,
àpɾí,,20255,it's by the tree grandpa said the lion will attack the boy,àn ðúɽì ndɾìǐ ðáɾɔ́ðɛ́ ùɾnɔ̀ ðàl t̪ùlí àððàt̪à àpɾíɲà,àn ðúɽì ńdɾì ðáɾɔ́ðɛ́ ùrnɔ̀ ðàl t̪òlɛ́ àðàt̪á àpɾíɲá,,,
àpɾí,,3920,I am about to show the dog to the boy,íŋgâŋìcɔ̌ àpɾìɲá ŋɛ́nɛ̀,íŋgá ŋìcɔ̀ àpɾíɲá ŋɛ́nɛ̀,,,
àpɾí,,16669,The man took meat from the boy yesterday,ðàmɔ̀cò ðǎpàt̪ɛ̀ àpríɲá èðè ùnɛ̀ɾɛ̀,ðɔ̀mɔ̀cɔ̀ ðápàt̪ɛ̀ àpɾíɲá ɛ̀ðɛ̀ ùnɛ́ɾɛ́,,,
